OVERS,MDNS,RUNS,WKTS,ECON,AVE,SR,OPPOSITION,GROUND,`START_DATE`,MATCH_ID,BOWLER,PLAYER_ID
10,1,46,3,4.6,15.33,20,v Sri Lanka,Harare,16-Nov-16,ODI # 3805,Ashley Nurse,315594
10,0,55,1,5.5,55,60,v Zimbabwe,Bulawayo,19-Nov-16,ODI # 3806,Ashley Nurse,315594
8,0,58,1,7.25,58,48,v Sri Lanka,Bulawayo,23-Nov-16,ODI # 3808,Ashley Nurse,315594
10,0,27,3,2.7,9,20,v Zimbabwe,Bulawayo,25-Nov-16,ODI # 3809,Ashley Nurse,315594
10,0,57,2,5.7,28.5,30,v England,North Sound,03-Mar-17,ODI # 3845,Ashley Nurse,315594
10,0,34,3,3.4,11.33,20,v England,North Sound,05-Mar-17,ODI # 3848,Ashley Nurse,315594
8,0,57,1,7.12,57,48,v England,Bridgetown,09-Mar-17,ODI # 3849,Ashley Nurse,315594
10,0,62,4,6.2,15.5,15,v Pakistan,Providence,07-Apr-17,ODI # 3861,Ashley Nurse,315594
10,0,42,1,4.2,42,60,v Pakistan,Providence,09-Apr-17,ODI # 3862,Ashley Nurse,315594
10,0,49,1,4.9,49,60,v Pakistan,Providence,11-Apr-17,ODI # 3863,Ashley Nurse,315594
10,1,34,2,3.4,17,30,v Afghanistan,Gros Islet,09-Jun-17,ODI # 3884,Ashley Nurse,315594
9.3,0,33,2,3.47,16.5,28.5,v Afghanistan,Gros Islet,11-Jun-17,ODI # 3887,Ashley Nurse,315594
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,14-Jun-17,ODI # 3890,Ashley Nurse,315594
4,1,22,0,5.5,-,-,v India,Port of Spain,23-Jun-17,ODI # 3895,Ashley Nurse,315594
9,0,38,1,4.22,38,54,v India,Port of Spain,25-Jun-17,ODI # 3896,Ashley Nurse,315594
10,0,34,0,3.4,-,-,v India,North Sound,30-Jun-17,ODI # 3898,Ashley Nurse,315594
10,0,29,1,2.9,29,60,v India,North Sound,02-Jul-17,ODI # 3900,Ashley Nurse,315594
4,0,34,0,8.5,-,-,v India,Kingston,06-Jul-17,ODI # 3902,Ashley Nurse,315594
8.5,0,48,0,5.43,-,-,v England,Manchester,19-Sep-17,ODI # 3911,Ashley Nurse,315594
-,-,-,-,-,-,-,v England,Nottingham,21-Sep-17,ODI # 3913,Ashley Nurse,315594
8,0,59,1,7.37,59,48,v England,Bristol,24-Sep-17,ODI # 3915,Ashley Nurse,315594
3,0,39,0,13,-,-,v England,The Oval,27-Sep-17,ODI # 3916,Ashley Nurse,315594
8,0,56,0,7,-,-,v England,Southampton,29-Sep-17,ODI # 3918,Ashley Nurse,315594
10,0,55,2,5.5,27.5,30,v New Zealand,Whangarei,20-Dec-17,ODI # 3943,Ashley Nurse,315594
10,0,45,0,4.5,-,-,v New Zealand,Christchurch,23-Dec-17,ODI # 3944,Ashley Nurse,315594
2,0,26,0,13,-,-,v New Zealand,Christchurch,26-Dec-17,ODI # 3945,Ashley Nurse,315594
9,0,61,0,6.77,-,-,v U.A.E.,Harare,06-Mar-18,ODI # 3987,Ashley Nurse,315594
6,0,31,1,5.16,31,36,v P.N.G.,Harare,08-Mar-18,ODI # 3991,Ashley Nurse,315594
7,0,29,0,4.14,-,-,v Ireland,Harare,10-Mar-18,ODI # 3993,Ashley Nurse,315594
9,0,39,1,4.33,39,54,v Afghanistan,Harare,15-Mar-18,ODI # 3997,Ashley Nurse,315594
4,0,28,0,7,-,-,v Zimbabwe,Harare,19-Mar-18,ODI # 4002,Ashley Nurse,315594
9.2,0,35,2,3.75,17.5,28,v Scotland,Harare,21-Mar-18,ODI # 4004,Ashley Nurse,315594
10,2,31,0,3.1,-,-,v Afghanistan,Harare,25-Mar-18,ODI # 4007,Ashley Nurse,315594
10,0,39,0,3.9,-,-,v Bangladesh,Providence,22-Jul-18,ODI # 4022,Ashley Nurse,315594
